date,Namibia,Nepal,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Palestine,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda
1/21/2020,,,,,,,,,,,,,,,,,,,,,
1/22/2020,,,,,,,,,,,,,,,,,,,,,
1/23/2020,,,,,,,,,,,,,,,,,,,,,
1/24/2020,,,,,,,,,,,,,,,,,,,,,
1/25/2020,,1,,,,,,,,,,,,,,,,,,,
1/26/2020,,1,,,,,,,,,,,,,,,,,,,
1/27/2020,,1,,,,,,,,,,,,,,,,,,,
1/28/2020,,1,,,,,,,,,,,,,,,,,,,
1/29/2020,,1,,,,,,,,,,,,,,,,,,,
1/30/2020,,1,,,,,,,,,,,1,,,,,,,,
1/31/2020,,1,,,,,,,,,,,1,,,,,,,,
2/1/2020,,1,,,,,,,,,,,1,,,,,,,2,
2/2/2020,,1,,,,,,,,,,,2,,,,,,,2,
2/3/2020,,1,,,,,,,,,,,2,,,,,,,2,
2/4/2020,,1,,,,,,,,,,,2,,,,,,,2,
2/5/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/6/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/7/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/8/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/9/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/10/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/11/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/12/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/13/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/14/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/15/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/16/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/17/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/18/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/19/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/20/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/21/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/22/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/23/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/24/2020,,1,,,,,,,,,,,3,,,,,,,2,
2/25/2020,,1,,,,,2,,,,,,3,,,,,,,2,
2/26/2020,,1,,,,,4,,,,,,3,,,,,,,2,
2/27/2020,,1,,,,1,4,2,,,,,3,,,,,,1,2,
2/28/2020,,1,1,1,1,4,6,2,,,,,3,,,,,,1,2,
2/29/2020,,1,2,1,1,6,6,2,,,,,3,,,,,,3,2,
3/1/2020,,1,7,1,1,15,6,4,,,,,3,,,,1,,3,2,
3/2/2020,,1,13,1,1,19,6,4,,,,,3,,,,3,,3,2,
3/3/2020,,1,18,2,1,25,6,5,,,,,3,,2,,7,,3,3,
3/4/2020,,1,28,2,1,32,12,5,,,,,3,1,2,,8,,4,3,
3/5/2020,,1,38,2,1,56,15,5,4,,,,3,1,7,,8,,4,3,
3/6/2020,,1,82,4,1,86,16,5,7,,,,5,1,9,,8,,6,4,
3/7/2020,,1,128,5,1,113,16,5,16,,,1,5,5,13,,11,,7,7,
3/8/2020,,1,188,5,1,147,16,5,16,,,6,6,6,21,,12,,13,7,
3/9/2020,,1,265,5,2,169,16,6,19,,1,6,10,11,30,,15,,15,7,
3/10/2020,,1,321,5,2,192,18,16,26,1,1,9,33,16,30,,18,,15,7,
3/11/2020,,1,382,5,2,277,18,16,30,8,5,11,49,22,41,,24,,25,7,
3/12/2020,,1,503,5,2,489,18,19,30,10,5,17,52,44,41,,262,,48,20,
3/13/2020,,1,614,5,2,489,18,20,31,14,5,22,52,49,41,,262,3,48,34,
3/14/2020,,1,804,6,2,750,19,21,35,27,6,28,64,64,112,3,262,5,64,34,
3/15/2020,2,1,959,6,2,907,20,28,38,27,6,43,111,111,112,3,337,6,123,34,
3/16/2020,2,1,1135,6,2,1077,22,52,38,43,8,71,140,150,245,3,401,9,158,63,5
3/17/2020,2,1,1413,11,2,1169,24,187,39,69,9,86,187,150,331,3,439,9,158,93,7
